REF. HESPERIA,cleaned
GI.15.11,['ankitireśko+---']
GI.15.40,['---obeś']
GI.15.50,"['ba', 'ka']"
GI.08.02,"['-+lkitíbaś', 'lauŕsu:túrin', 'aluŕtíleis', 'bilotíkeŕei']"
GI.08.04,['ḿlbeier']
GI.20.01,"['biŕ:bilostáneśbatír:ibeitíkebatír:bilosbaśkáté©', 'n:auŕbimbatír:sortíkebatír:©ŕbatíbi:talskókáté', 'bilosbimbatír:lakúaŕkisbatír:©ŕbatíbi:bele:śtáŕkáté', '©ŕbatíbi:abaŕkísbatír:atintáneśbatírs:tánkókáté', 'śkábaibatíbi:akirtíbaśbatír:beleśbe:tibatír:kábaikáté', 'iriká:kólbiŕ---:be---:bakóntékeŕ', '©ŕbatí---beitikebatír:tí+']"
GI.20.02,"['tikirsbalauŕ:arḿi:banḿi:', 'aloŕbeŕiborareukeŕḿi', '']"
B.49.01,['balkesbaiser']
B.47.01,"['a++++tirtal+ar', 'ol II', '']"
B.47.02,['ar']
B.47.07,['---katin']
B.47.04,['---ne---']
B.47.03,['---ken']
B.47.09,['---+ś']
B.47.08,['---+i']
B.47.11,['---+ka---']
B.47.05,"['sba', '']"
B.47.06,['---a ta---']
B.44.02,['---+arnai:akiekiarn---']
B.44.25,['sosian']
B.44.10,['lakeŕ']
B.44.11,['seŕtun']
B.44.05,['biu---']
B.44.06,['kai']
B.44.14,['---+is++kaeś+---']
B.44.21,"['ta', 'ti', '+', 'ta']"
B.41.01,['akanos']
B.40.04,['ustainabaŕarban']
B.37.02,['nḿkei ltiŕa rḿi']
B.21.01,['-śtaneśe---intaneś- ebanen : au ŕuninkika oŕtinse ikika : siba itin :']
B.17.03,['ikeatin']
B.17.06,['lakene']
B.17.01,['balke']
B.17.02,['eba']
B.17.04,['kai']
B.17.07,['+ban']
B.17.12,['---++oke']
B.17.08,['---baki']
B.17.10,['---la']
B.17.05,['ki---']
B.17.09,['---kebaketakebaŕḿi']
B.17.13,"['', '---osti+++e:bilostíkenar', 'laketi++++abastíken+r', '']"
B.20.03,['aŕkiśaba+---']
B.24.01,['ol']
B.15.01,['eukin']
B.15.03,['tika']
B.34.01,['taneike+eś---']
B.35.02,['kaa+---']
B.35.01,['eba']
T.11.01,"['koti', 'baiŕ']"
T.11.02,['---tosoe+ŕki+teiar']
T.11.03,['kaŕain']
T.11.04,['arkatibaśbi+rti---']
T.11.05,"['aŕe : take', 'atinbelauŕ : antalskar', 'FVLVIA : LINTEARIA']"
T.11.06,"['------+', 'HEIC : EST : SITVS, -A ---', 'aŕe : +ki : ar++---', 'sakaŕil+---']"
T.11.07SUSPECTA,"['', 'toŕs', '++', 'bita', '+e', 'be+']"
T.11.08SUSPECTA,['letaonḿi']
T.11.09,"['---NEI', '---ban', '---']"
B.31.01,['baŕ']
B.31.02,['aŕkeboŕ']
B.30.01,['artokoto---']
T.09.01,"['taltiu', 'ta']"
T.07.05,[':táutíntíbaś:sani:kiŕśto:uŕkétíkeś:']
T.07.06,['bateiŕebaikárśokínbaikár :']
T.07.07,['---u-i-tibaśte+---']
T.07.08,['banban']
T.07.09,['ḿn']
B.22.01,['---tuituiskeŕar---']
B.22.02,"['oŕkeirur', 'oŕkeibaŕban']"
B.25.01,['in']
B.27.01,"['ui', 'bel', '']"
B.29.01,['ao+']
B.29.02,['tas']
B.29.03,['baŕkákeŕ']
B.29.04,['iltiŕnou---']
B.29.05,['---kuletekerḿi---']
B.29.06,['---oŕtín---']
B.29.07,['ou']
T.06.08,['taŕś']
T.06.06,['taŕ']
T.06.04,['kiba']
T.06.09,['ko II']
L.20.01,['']
T.00.02,"['', '---+e:a+---', 'bieinesiŕ', 'baisenioska:o I I I I I I', 'baisenios', 'baitési:uniltun', 'eŕtoska:abaŕkebiotaŕ:ikí:Π I']"
GI.08.07,"['---baŕ', '']"
GI.08.12,['---tia---']
B.43.04,['baka+---']
B.43.03,['---+nkébos+---']
B.18.02,['bakaśutaŕte']
B.18.03,['ḿbaŕ']
L.16.01,['lakuḿtibaś ---']
L.07.03,['baŕke']
L.08.01,['---e ḿi---']
B.38.01,"['', '---tinbaśtéeŕoké', 'bartaśtóloriltursu+---', 'tórtónbalaŕbiteŕoka++']"
T.06.03,['i+']
T.07.01,"['', 'śalaiaŕkistenai', 'aŕikaletesui:lakuiltuń:ke:tasinbai---tibani+-r-+', 'śalaiaŕkiste:ikeŕ:aŕikalereian---+te:śalai+-tin', 'śalaiaŕkiste:beŕkebeśa:aŕi-', 'kalereianiŕ:aŕikale:etesur:tikirsur:akiaŕko:', 'torsinkeŕe']"
B.41.04,"['kubaŕ', 'al:- - -tulku', 'bibaḿi ki', 'riś', 'LEVCARIO', 'SVRI VIXIT']"
B.46.01,['---banḿi:biuŕtáŕte---']
GI.10.07,"['', '--- lakerekes ---', '---ŕtabir:s++---', '---e auśes:---', '---n:++---', '---+---']"
GI.10.08,"['lakeŕbela---', 'koŕtikiŕ---']"
L.19.01,"['baḿbaketi+', 'XII']"
L.06.01,['kírkukebe']
B.04.02,['luki']
B.05.01,"['soŕike---', 'tikobe---', 'ke++---', '+--+---']"
B.07.01,"['---+ŕ++ beŕikáŕs++', 'baŕkáabultumantiŕ++']"
B.06.01,"['---nḿ---', 'bele+---nar', 'inti']"
B.01.05,['lakeŕbelauŕ']
B.01.08,['---anako']
B.01.10,['---nkaler---']
B.01.04,"['il', 'u']"
B.01.09,['---kali---']
B.01.07,['+to']
B.01.11,['---+bau']
B.01.12,['---+i+---']
B.01.02,['ata']
B.01.03,['bai']
B.01.01,['ai']
L.03.01,"['ostaŕ+', 'atebartebar', 'suŕḿi']"
L.03.04,['luki']
